Course, Grade
LLED-350,-1.0
SOWK-527,79.77
LLED-351,-1.0
SOWK-526,88.88
LLED-352,-1.0
SOWK-529,85.9
LLED-353,-1.0
SOWK-528,85.85
SOWK-521,84.94
KIN-265,75.39
GEOS-373,78.2
ETEC-565,91.02
GEOS-372,75.98
KIN-262,81.16
BUSI-420,-1.0
KIN-261,77.7
GEOS-370,76.94
LLED-360,-1.0
LLED-321,85.71
ARCL-405,79.99
LLED-323,82.85
ARCL-406,83.08
LLED-324,-1.0
SOWK-559,89.16
LLED-320,84.37
LAIS-607,86.0
CNPS-433,86.93
LAIS-605,79.77
SOWK-550,87.15
BUSI-455,73.63
LLED-325,83.76
SOWK-551,87.03
SOWK-554,85.19
SOWK-553,87.18
BUSI-450,70.85
ETEC-530,90.3
ETEC-531,91.21
BUSI-454,74.89
ETEC-532,90.48
BUSI-453,72.66
ETEC-533,88.13
BUSI-452,78.42
LAIS-609,86.09
BUSI-451,73.11
LAIS-608,85.48
ECON-690,-1.0
EDUC-280,71.63
SOWK-545,85.56
LLED-333,84.97
SOWK-544,84.21
LLED-334,86.7
SOWK-547,83.4
LLED-335,87.75
ARCL-410,82.29
SOWK-549,83.67
CNPS-427,80.32
SOWK-548,83.92
CNPS-426,84.8
BUSI-446,75.09
BUSI-445,68.69
BUSI-444,65.47
LLED-336,-1.0
SOWK-541,84.71
ARCL-419,72.0
SOWK-543,83.19
SOWK-542,84.94
ETEC-540,89.24
ETEC-541,91.27
ETEC-542,88.59
BUSI-443,69.74
ETEC-543,88.86
BUSI-442,76.02
ETEC-544,90.16
BUSI-441,68.85
ARCL-420,72.6
ECPS-310,58.42
ELEC-211,65.25
LING-345,79.01
FOPR-464,80.05
LING-342,73.05
BUSI-355,70.64
FOPR-463,73.46
SOCI-344,77.95
BUSI-354,72.84
BUSI-353,72.5
BUSI-352,68.8
HUNU-301,77.25
SOCI-342,75.75
HUNU-305,72.75
HUNU-303,76.08
NSCI-311,91.51
LING-350,76.91
SOWK-601,88.55
ELEC-221,68.14
FOPR-459,85.07
BUSI-344,62.24
EDUC-344,-1.0
NSCI-303,91.8
NSCI-302,86.16
NSCI-301,86.42
EDUC-345,0.0
NSCI-300,91.84
AMNE-595,86.0
AMNE-590,87.4
AMNE-599,92.69
SOCI-328,71.29
BUSI-370,71.18
SOCI-324,76.12
HUNU-321,80.03
ORNT-400,85.0
SOCI-320,76.06
HUNU-309,75.83
SOWK-621,77.03
HUNU-307,72.72
SOWK-623,86.4
SOCI-315,77.8
BOTA-649,-1.0
KIN-284,77.05
SOCI-312,70.61
SOCI-314,72.99
SOCI-310,74.54
FRST-290,74.73
FRST-292,79.11
SPHA-522,84.69
SPHA-521,83.18
LING-301,75.7
LING-300,76.51
EDUC-319,-1.0
BUSI-393,70.27
EDUC-316,-1.0
BUSI-398,59.21
CIVL-322,84.69
EDUC-310,81.77
SOCI-384,75.99
EDUC-311,81.4
CIVL-320,74.85
CIVL-321,83.2
SOCI-387,77.84
SOCI-380,76.67
EDUC-315,-1.0
SOCI-381,73.43
SOCI-382,74.72
SOCI-383,72.74
BAMA-580,79.7
CIVL-340,71.81
SPHA-511,85.79
SPHA-512,93.42
SPHA-510,85.27
LING-314,80.49
LING-313,74.18
LING-312,79.04
LING-311,73.56
LING-310,75.39
EDUC-307,78.33
EDUC-308,81.83
EDUC-306,85.01
LING-308,81.16
LING-305,76.85
CIVL-331,76.31
SPHA-502,86.75
CIVL-332,71.36
SPHA-503,80.83
SOCI-370,70.88
SOCI-371,74.34
SOCI-372,74.43
BAMA-590,82.8
SPHA-501,84.26
ECON-601,81.79
ECON-600,80.33
ECON-603,84.6
ECON-602,82.63
LING-320,79.25
LING-319,76.17
LING-317,73.34
LING-316,72.73
SOCI-368,74.62
LING-315,75.5
SOCI-369,71.58
SOCI-364,75.92
SOCI-360,72.76
SOCI-361,77.72
ELEC-204,87.77
ELEC-205,89.98
ELEC-202,68.29
ELEC-203,73.87
ELEC-201,68.8
LING-333,82.97
EDUC-329,-1.0
LING-327,73.12
EDUC-321,-1.0
SOCI-352,73.48
SOCI-354,72.98
EDUC-323,-1.0
SOCI-350,70.98
SPHA-562,82.82
SPHA-563,84.47
SPHA-561,83.34
ENVE-200,83.5
ENVE-202,83.1
SPHA-564,86.1
ENVE-201,82.33
BAMA-530,82.02
POLI-324,69.53
POLI-325,71.84
POLI-326,76.25
POLI-327,74.13
POLI-320,74.03
POLI-321,66.41
POLI-322,76.84
POLI-323,72.21
GREK-649,-1.0
SPHA-557,86.09
POLI-328,85.44
POLI-329,74.89
LASO-309,85.88
SPHA-551,87.86
SPHA-552,83.94
SPHA-555,82.27
SPHA-556,85.8
SPHA-553,84.87
BAMA-540,81.48
SPHA-554,83.18
BAMA-541,80.45
LFS-502,86.87
LFS-501,86.5
LFS-500,-1.0
POLI-316,72.5
POLI-310,71.58
FRST-248,0.0
FRST-270,80.04
SPHA-544,84.98
BAMA-550,81.18
SPHA-542,84.82
SPHA-543,86.65
POLI-350,74.58
POLI-351,73.34
POLI-352,72.16
POLI-346,70.88
POLI-347,73.83
POLI-348,76.52
POLI-349,69.96
POLI-342,84.0
POLI-343,70.74
POLI-344,77.72
POLI-345,75.8
MEDI-649,-1.0
SPHA-530,83.95
SPHA-533,88.77
SPHA-531,86.12
SPHA-532,82.27
HEBR-201,80.27
POLI-340,72.89
POLI-341,79.12
HEBR-202,81.07
POLI-335,73.82
POLI-336,76.65
POLI-338,74.35
POLI-331,72.96
POLI-332,75.15
POLI-333,94.8
POLI-334,76.19
POLI-371,86.29
POLI-372,79.46
POLI-373,77.85
POLI-374,76.42
LASO-350,81.56
POLI-370,75.76
POLI-368,70.43
POLI-369,78.27
POLI-364,73.7
SOCI-300,74.61
POLI-365,74.85
SOCI-301,76.22
POLI-366,74.35
SOCI-302,73.38
POLI-367,74.59
SOCI-303,75.38
FRST-210,71.33
FRST-211,76.24
GEM-599,88.07
GEM-580,87.25
POLI-360,73.44
POLI-361,76.37
POLI-362,74.16
BAMA-500,80.95
POLI-363,72.26
BAMA-501,80.06
BAMA-502,81.86
BAMA-503,81.04
BAMA-504,82.35
SPHA-590,87.26
LFS-549,-1.0
FRST-200,70.19
FRST-201,78.08
FRST-202,65.17
FRST-203,69.99
FNH-160,73.37
FNH-161,73.8
CHIN-381,77.94
BAMA-510,77.72
CHIN-383,78.06
BAMA-511,81.65
BAMA-512,85.46
SPHA-580,96.06
BAMA-513,85.5
CHIN-384,77.91
POLI-390,83.38
SPHA-581,88.41
BAMA-514,82.28
BAMA-515,83.36
BAMA-505,81.3
FRST-239,76.61
BAMA-506,82.88
CHIN-388,79.71
BAMA-507,80.99
BAMA-508,83.47
BAMA-509,80.95
FRST-231,69.65
DENT-649,-1.0
FRST-232,74.91
FRST-237,73.28
FRST-238,70.91
PATH-306,82.01
PATH-305,79.5
BAMA-520,81.77
POLI-385,71.71
POLI-380,73.09
POLI-381,77.18
BAMA-516,82.41
POLI-379,76.38
BAMA-517,86.49
ITAL-206,86.2
BAMA-519,81.68
POLI-375,77.15
POLI-376,77.38
POLI-377,80.51
POLI-378,74.39
ENVE-203,81.98
PATH-301,78.66
PATH-304,78.0
PATH-303,78.88
PATH-300,81.76
CNPS-579,88.45
CNPS-578,90.13
CHIN-440,81.5
CNPS-574,90.86
CHIN-441,78.7
FRST-415,75.23
CHIN-443,78.8
CHIN-445,80.3
FRST-418,81.4
LATN-521,84.25
FRST-419,69.6
CHIN-447,79.45
FRST-411,85.81
FRST-413,87.04
LATN-525,87.11
ENVR-448,87.65
ENVR-449,86.42
LIBE-461,86.84
PATH-327,79.85
LIBE-463,85.5
LIBE-465,86.03
CNPS-566,91.51
LIBE-467,86.34
CNPS-565,89.5
CNPS-564,89.29
CHIN-431,74.88
CHIN-430,76.26
ANTH-100,74.0
PHYL-400,87.56
CHIN-433,74.41
IEST-505,82.09
FRST-404,74.32
SPAN-112,68.56
CHIN-432,74.66
FRST-405,84.41
SPAN-111,69.55
CHIN-435,78.87
FRST-406,86.5
SPAN-110,68.01
CHIN-434,72.67
CHIN-437,80.72
FRST-408,85.89
ENVR-440,87.21
IEST-501,85.84
LATN-535,85.06
ANTH-103,70.88
IEST-502,79.51
FRST-402,78.5
IEST-500,-1.0
FRST-403,85.57
IGEN-340,80.34
LIBE-477,89.02
CNPS-599,88.95
CHIN-460,79.2
CNPS-598,-1.0
CHIN-461,74.77
CNPS-595,92.05
CHIN-464,75.18
CNPS-594,90.38
CHIN-463,75.51
CHIN-466,77.16
GEOS-200,77.56
CHIN-465,76.94
CHIN-468,79.11
CNPS-590,-1.0
FRST-439,80.04
CHIN-467,78.99
FRST-430,81.14
GEOS-207,73.42
LATN-549,85.0
FRST-431,82.02
GEOS-206,77.15
FRST-432,79.18
IEST-512,85.86
LATN-545,84.0
IEST-511,82.08
FRST-436,83.41
APSC-101,74.76
PORT-202,80.47
APSC-100,78.22
ACAM-250,76.73
IGEN-330,81.0
CNPS-588,88.32
CNPS-587,91.26
CNPS-586,91.45
PORT-201,77.61
CHIN-451,72.75
CHIN-450,74.16
CNPS-584,90.84
CHIN-453,74.25
CNPS-580,90.22
FRST-421,72.54
FRST-422,81.02
FRST-423,77.2
IEST-521,81.58
FRST-424,81.03
FRST-425,89.57
PORT-210,85.16
PHYL-430,84.05
CHIN-400,79.33
CHIN-401,78.47
ENVR-490,83.74
KIN-311,66.91
CHIN-403,80.33
CHIN-405,79.44
CHIN-407,79.52
PATH-375,80.69
KIN-313,70.16
KIN-316,73.68
HEBR-102,76.3
HEBR-101,83.55
PORT-222,90.86
KIN-301,-1.0
KIN-300,89.38
PHYL-448,83.0
PHYL-449,86.21
KIN-303,80.05
ENPH-352,79.46
ENPH-353,86.56
CHIN-420,82.44
POLI-302,74.64
CHIN-421,80.27
POLI-303,73.41
POLI-304,71.32
CHIN-423,75.09
POLI-305,73.47
POLI-301,69.03
POLI-306,72.58
POLI-307,71.1
POLI-308,89.84
POLI-309,73.84
PHYL-422,83.11
CHIN-411,77.06
PHYL-423,82.69
CHIN-410,81.93
CHIN-413,75.83
PHYL-421,86.0
CHIN-412,79.44
PHYL-426,79.08
CHIN-415,79.11
CHIN-414,75.3
PHYL-424,83.64
PHYL-425,83.34
SOWK-699,-1.0
BIOC-202,70.08
BIOC-203,72.18
CSIS-300,79.44
CSIS-301,79.68
KIN-355,83.91
KIN-351,72.33
KIN-357,83.0
KIN-343,83.04
CHEM-100,69.55
KIN-342,82.75
KIN-345,91.97
KIN-344,90.91
CHEM-103,65.8
KIN-341,85.92
SOCI-290,74.14
CNPS-514,89.17
KIN-330,70.63
SOCI-285,68.08
KIN-335,84.34
CNPS-508,90.0
SOCI-280,79.88
CNPS-504,91.06
KIN-321,77.57
KIN-320,83.75
GEOS-270,76.42
SOCI-270,76.85
EDUC-390,97.32
LLED-222,76.78
LLED-223,76.22
LING-140,73.67
SOWK-654,84.84
EDUC-395,-1.0
LLED-220,75.39
CNPS-535,89.23
LLED-221,73.97
CNPS-534,91.66
KIN-390,75.01
CNPS-532,92.4
FOPR-388,69.93
CNPS-531,87.92
LLED-226,75.59
LING-142,93.8
EDUC-399,-1.0
ENVR-410,83.31
EDUC-380,83.07
CNPS-524,89.43
CNPS-523,83.47
KIN-381,79.89
KIN-389,72.99
KIN-383,81.0
KIN-382,79.3
ENVR-400,85.12
ENVR-402,82.86
LLED-200,68.39
LLED-201,69.8
SPAN-105,72.6
LLED-206,77.28
SPAN-103,79.89
SPAN-102,72.35
SPAN-101,74.06
KIN-375,79.89
SPAN-100,71.5
KIN-371,76.12
KIN-373,79.17
ENVR-430,87.06
LATN-502,84.4
LATN-501,84.83
LATN-503,84.14
LLED-211,74.75
LLED-212,76.38
LLED-213,75.26
LING-170,79.54
LLED-210,76.49
CNPS-545,89.8
CNPS-544,86.81
KIN-365,83.05
KIN-364,83.39
KIN-367,88.18
KIN-366,82.48
KIN-361,76.94
KIN-360,80.28
KIN-363,82.94
KIN-362,76.58
ENVR-420,82.78
KIN-369,75.17
KIN-368,91.03
HUNU-419,81.2
BASC-580,82.0
CIVL-250,84.21
FISH-699,-1.0
LING-222,77.72
BUSI-470,76.39
SOCI-224,77.54
HUNU-421,79.02
SOCI-220,82.64
PSYT-425,79.0
HUNU-407,80.54
HUNU-409,84.56
BUSI-460,61.06
SOCI-217,70.69
BUSI-465,78.68
PSYT-430,79.57
SOCI-213,74.58
SOCI-214,76.4
SOCI-215,75.08
BOTA-500,-1.0
HUNU-411,76.72
BOTA-501,87.03
SOCI-210,73.44
BOTA-505,89.57
BOTA-502,-1.0
EDUC-490,100.0
EDUC-492,84.24
BUSI-499,67.58
FOPR-365,73.96
LING-242,90.57
FOPR-360,82.67
BUSI-493,78.25
ZOOL-553,89.29
SOCI-201,74.92
FOPR-363,65.76
FOPR-362,79.89
FOPR-361,78.56
SOCI-204,73.45
EDUC-495,-1.0
EDUC-496,-1.0
SOCI-200,74.74
EDUC-480,-1.0
FOPR-359,75.01
BOTA-528,84.81
BUSI-485,54.3
PSYT-450,75.86
BASC-550,82.26
NSCI-448,93.73
BOTA-526,84.83
BOTA-527,88.19
ARBM-201,91.0
CIVL-201,84.04
BASC-540,79.86
CIVL-202,81.89
EDUC-432,86.09
CIVL-200,72.91
EDUC-430,-1.0
SOCI-260,75.11
CIVL-203,81.98
CIVL-204,78.83
CIVL-220,66.4
HINU-400,87.2
BOTA-544,85.95
EDUC-420,82.19
EDUC-421,-1.0
CIVL-210,71.62
BOTA-549,87.62
BOTA-546,84.33
SOCI-250,69.7
CIVL-215,72.73
CIVL-230,75.18
CIVL-231,76.46
EDUC-450,-1.0
LING-201,74.64
LING-200,74.78
BASC-525,83.69
PSYT-401,85.68
BASC-523,80.57
BASC-524,84.1
EDUC-451,-1.0
EDUC-452,-1.0
BASC-521,82.35
CIVL-228,76.12
HUNU-403,78.26
CIVL-225,84.06
BASC-520,81.0
SOCI-240,72.6
BASC-514,82.38
BASC-515,81.19
BASC-512,83.11
EDUC-449,90.94
LING-209,75.72
EDUC-442,85.7
SOCI-230,75.09
CIVL-235,81.04
EDUC-440,79.76
EDUC-441,84.24
BASC-510,82.8
BASC-511,84.3
FNH-200,77.98
FRST-370,80.85
BASC-504,82.38
POLI-200,70.75
BASC-505,87.0
APSC-160,75.29
BASC-500,82.33
DENT-774,-1.0
DENT-775,-1.0
LASO-204,81.83
DENT-770,-1.0
DENT-771,-1.0
ZOOL-500,87.01
ZOOL-503,88.73
ZOOL-502,87.55
APSC-172,72.07
APSC-173,70.43
DENT-776,-1.0
APSC-178,78.17
APSC-179,78.43
APSC-176,69.55
FRST-392,78.45
FRST-395,74.72
EDUC-418,-1.0
EDUC-419,-1.0
APSC-183,76.06
APSC-182,73.79
FRST-399,79.69
APSC-180,74.18
EDUC-412,82.38
POLI-220,73.54
STAT-649,-1.0
FRST-385,70.86
FRST-386,76.23
FRST-387,73.62
EDUC-401,90.3
APSC-110,-1.0
PATH-415,80.99
PATH-417,77.63
CHIN-482,89.0
CHIN-481,77.47
CHIN-484,77.92
CHIN-483,77.52
CHIN-485,77.65
FRST-339,77.3
PHYL-398,-1.0
PHYL-399,-1.0
CHIN-489,79.89
ZOOL-533,87.38
FNH-250,75.29
FRST-332,68.03
FNH-255,74.67
PATH-408,84.97
APSC-121,0.0
FNH-270,-1.0
PATH-405,81.79
APSC-122,-1.0
PATH-404,79.8
PATH-407,83.22
PATH-406,79.68
ITAL-110,80.5
POLI-240,73.2
CHIN-471,76.79
CHIN-470,73.51
CHIN-473,75.91
CHIN-474,76.16
FRST-327,69.11
ANTH-140,72.03
ZOOL-549,87.84
PATH-401,85.83
FRST-320,78.07
PATH-402,82.68
PATH-438,88.21
PATH-437,79.19
FRST-350,82.51
FRST-351,82.83
ITAL-100,74.01
ZOOL-509,96.44
ITAL-101,75.57
ITAL-102,74.49
ITAL-104,78.55
HINU-450,87.23
DENT-769,86.82
FRST-352,78.51
PATH-427,83.59
CHIN-491,75.0
CHIN-493,75.43
CHIN-494,77.71
POLI-260,73.33
LFS-649,-1.0
ZOOL-524,85.57
ZOOL-527,86.24
APSC-150,76.31
APSC-151,72.57
PATH-425,81.28
FRST-346,-1.0
DENT-756,-1.0
FRST-348,52.5
LLED-541,86.73
LLED-540,87.67
URSY-520,85.13
ANTH-232,72.66
ANTH-231,72.01
PHYL-511,84.84
RUSS-323,83.26
PSYC-488,92.29
RUSS-321,84.51
PHTH-545,85.07
PHTH-544,87.55
PHTH-546,91.15
PHTH-548,88.85
GEOS-103,75.43
GEOS-102,76.53
LLED-552,88.18
LLED-553,89.05
LLED-550,83.22
LLED-551,87.3
PSYC-472,77.09
URSY-510,85.47
LLED-556,88.95
LLED-557,86.11
LLED-558,88.61
LLED-559,89.63
ANTH-221,75.27
PHTH-552,90.69
ANTH-220,76.56
PHYL-522,79.67
PHTH-554,-1.0
ANTH-222,74.17
PHYL-526,86.84
CLST-260,75.27
PHTH-558,87.52
DHYG-110,79.42
ANTH-228,71.27
ANTH-225,71.14
ANTH-227,74.27
LIBE-590,-1.0
LLED-520,87.55
LLED-521,86.94
LLED-522,91.88
COMM-525,85.73
URSY-540,83.53
LLED-527,90.0
LLED-523,85.37
LLED-525,88.26
LLED-526,88.16
RUSS-302,84.68
DHYG-106,84.2
RUSS-301,87.61
PHTH-565,84.1
RUSS-300,82.95
DHYG-108,75.35
PHTH-564,86.42
RUSS-306,82.32
PHTH-566,93.35
RUSS-305,87.56
RUSS-303,82.83
COMM-517,80.11
URSY-530,82.71
COMM-515,83.56
LLED-534,88.96
LLED-535,89.01
LLED-536,90.65
PHTH-572,89.12
PHTH-574,-1.0
PHTH-578,85.74
RUSS-316,85.82
ANTH-241,74.57
RUSS-315,84.8
ANTH-240,65.45
MECH-305,77.13
MECH-306,79.53
LLED-501,95.15
MECH-301,76.92
LLED-502,90.38
MECH-302,73.78
LLED-503,89.4
MECH-303,78.44
CLST-212,74.94
GERN-102,81.67
MECH-304,75.75
CLST-211,78.54
LATN-201,78.37
LATN-200,71.46
KIN-432,84.17
LATN-202,78.37
PSYC-440,89.59
KIN-438,79.01
KIN-435,77.13
PSYC-449,88.4
PSYC-448,88.5
LLED-510,86.95
LLED-511,94.07
URSY-550,84.71
LLED-512,87.0
LLED-513,87.11
KIN-420,89.05
PHTH-511,89.39
PSYC-431,73.08
PHTH-514,84.92
PSYC-430,69.63
PHTH-516,92.0
PHTH-518,83.81
PHTH-517,87.2
KIN-424,84.61
KIN-425,77.95
MECH-327,72.51
MECH-328,80.03
MECH-329,73.59
PSYC-461,76.16
PSYC-460,74.46
MECH-325,75.49
MECH-326,72.13
ANTH-210,72.29
LARC-206,73.25
PSYC-469,74.39
CLST-232,71.33
LARC-205,76.84
CLST-231,72.87
KIN-411,78.89
PHTH-521,87.71
PSYC-466,83.35
PSYC-465,70.19
PSYC-464,78.39
PSYC-463,78.41
PHTH-524,84.66
PSYC-462,73.39
PHTH-527,87.96
ANTH-217,73.7
PHTH-526,89.9
KIN-419,82.27
PHTH-528,88.35
ANTH-214,72.73
GREK-501,84.0
ANTH-213,74.35
GREK-502,85.6
KIN-415,74.1
ANTH-215,76.07
GSAT-599,-1.0
GERN-101,85.64
ANTH-201,74.83
KIN-400,87.8
PHTH-532,83.55
ANTH-200,73.23
PHTH-531,85.06
PHTH-534,-1.0
PHYL-548,87.0
PHTH-538,88.12
ANTH-206,77.65
URST-200,73.29
PHYL-549,86.5
ANTH-203,74.17
ANTH-202,66.2
ANTH-205,74.46
CHBE-201,74.98
COMM-586,84.62
SOWK-336,80.59
SOWK-335,82.67
COMM-585,82.61
SOWK-337,82.27
COMM-588,82.39
COMM-589,82.96
KIN-475,75.58
KIN-471,86.23
KIN-473,77.56
KIN-472,84.22
COMM-583,84.35
COMM-581,87.38
SOWK-325,89.29
ASIA-200,71.79
SOWK-320,81.43
KIN-464,80.32
LIBE-508,86.88
KIN-465,89.51
ASIA-209,71.49
KIN-460,80.59
KIN-462,75.94
KIN-461,87.22
ASIA-206,77.22
ASIA-207,87.16
ASIA-208,72.89
COMM-571,81.0
KIN-468,84.58
COMM-572,82.27
KIN-467,84.59
ASIA-204,75.13
KIN-469,80.43
ASIA-210,79.6
ASIA-211,74.79
ARCL-203,74.27
ARCL-204,72.85
KIN-453,84.23
KIN-454,81.68
ASIA-212,78.04
ASIA-213,76.07
KIN-456,78.22
KIN-459,87.26
COMM-597,85.55
COMM-598,81.56
ASIA-222,71.54
COMM-596,79.14
LIBE-527,88.67
KIN-442,88.63
KIN-444,86.39
COMM-590,81.86
GSAT-540,89.66
ASIA-223,72.25
ASIA-225,73.28
WOOD-572,87.75
COMM-547,-1.0
COMM-544,85.4
COMM-548,87.1
COMM-549,88.4
PHTH-581,88.77
PHTH-580,84.0
LLED-590,96.0
TIBT-390,87.43
WOOD-570,-1.0
LLED-598,84.0
LLED-599,91.36
ASIA-254,74.57
LLED-565,86.52
SOWK-316,87.5
SOWK-315,0.0
ASIA-250,76.51
KIN-490,91.49
SOWK-310,85.45
KIN-499,91.92
KIN-492,93.12
ASIA-258,74.9
LLED-574,85.79
LLED-575,89.43
LLED-576,90.75
SOWK-305,85.3
LLED-577,89.3
LLED-570,87.21
LLED-571,88.41
LLED-572,87.8
LLED-573,88.26
SOWK-300,77.73
GSAT-501,87.32
KIN-486,80.6
GSAT-502,90.85
KIN-488,95.0
KIN-487,86.6
KIN-482,83.9
KIN-481,81.55
KIN-484,87.85
KIN-483,86.52
LLED-580,88.67
KIN-489,86.82
ADHE-509,85.91
THTR-500,87.26
THTR-505,89.17
BUSI-112,70.91
BUSI-111,67.5
ADHE-500,87.79
HUNU-541,98.1
SOCI-584,81.93
ADHE-501,87.48
HUNU-540,94.76
BAPA-550,81.49
HUNU-547,92.33
HUNU-545,91.29
SOCI-580,85.75
ADHE-505,88.71
ADHE-519,82.33
THTR-510,85.0
THTR-515,83.5
STAT-599,-1.0
THTR-507,80.44
THTR-506,82.71
ADHE-510,88.0
BUSI-101,70.78
BUSI-100,67.36
STAT-598,-1.0
ADHE-513,89.39
ADHE-514,86.47
HUNU-531,86.16
ADHE-511,86.54
ADHE-512,86.33
ADHE-517,88.1
ADHE-518,84.73
ADHE-515,88.42
NURS-180,91.52
THTR-520,85.5
THTR-525,85.44
